No.,Bandpass,Measurement,Unc High,Unc Low,Unit,Frequency (Hz),Flux Density,FD Unc High,FD Unc Low,FD Upper Limit,FD Lower Limit,Flux,F Unc High,F Unc Low,F Upper Limit,F Lower Limit,Telescope,Instrument,Frequency,Freq. Unit,Aperture Type,Reference
1,100 MeV-100 GeV LAT,7.44e-11,6.9e-12,6.9e-12,erg/cm^2/s,1.2099999965805e+25,6.14876034795511e-13,5.70247935495837e-14,5.70247935495837e-14,,,7440000000000.0,690000000000.0,690000000000.0,,,Fermi,LAT,50050.0,MeV,from fitting to map,2010ApJS..188..405A
2,EGRET (0.1-5 GeV),2.567e-11,4.59e-12,4.59e-12,Jy,6.16999994e+23,2.567e-11,4.59e-12,4.59e-12,,,15838389845980.0,2832029972460.0,2832029972460.0,,,Compton Gamma Ray Obs,EGRET,2.55,GeV,flux integrated from map or image,1995ApJS..101..259T
3,0.2-4 keV (EINSTEIN),8.563e-10,,,erg/cm^2/s,5.24599984e+17,0.000163229131932265,,,,,85630000000000.0,,,,,Einstein,IPC,2.1,keV,flux integrated from map or image,1992ApJS...80..531F
4,U (U_T^0),0.52,,,mag,818999999000000.0,1121.0,,,,,9.18098998879e+17,,,,,Literature compilation,Literature compilation,3660.0,A,flux integrated from map or image,1991RC3.9.C...0000d
5,U (U_T),0.91,0.07,0.07,mag,818999999000000.0,782.9,52.68,52.68,,,6.411950992171e+17,4.314491994732e+16,4.314491994732e+16,,,Literature compilation,Literature compilation,3660.0,A,flux integrated from map or image,1991RC3.9.C...0000d
6,B (B_T^0),0.57,,,mag,681000015000000.0,2520.0,,,,,1.7161200378e+18,,,,,Literature compilation,Literature compilation,4400.0,A,flux integrated from map or image,1991RC3.9.C...0000d
7,B (B_T),0.91,0.05,0.05,mag,681000015000000.0,1843.0,86.83,86.83,,,1.255083027645e+18,5.913123130245e+16,5.913123130245e+16,,,Literature compilation,Literature compilation,4400.0,A,flux integrated from map or image,1991RC3.9.C...0000d
8,V (V_T),0.4,0.06,0.06,mag,542000009000000.0,2518.0,138.9,138.9,,,1.364756022662e+18,7.52838012501e+16,7.52838012501e+16,,,Literature compilation,Literature compilation,5530.0,A,flux integrated from map or image,1991RC3.9.C...0000d
9,V (V_T^0),0.13,,,mag,542000009000000.0,3229.0,,,,,1.750118029061e+18,,,,,Literature compilation,Literature compilation,5530.0,A,flux integrated from map or image,1991RC3.9.C...0000d
10,V,0.4,0.1,0.1,mag,542000008921088.0,2518.0,231.9,231.9,,,1.3647560224633e+18,1.256898020688e+17,1.256898020688e+17,,,?,?,5530.0,A,not reported in paper,2012AJ....144....4M
11,1.25 microns (COBE),4520.0,650.0,650.0,Jy,240000004259840.0,4520.0,650.0,650.0,,,1.08480001925448e+18,1.56000002768896e+17,1.56000002768896e+17,,,COBE,DIRBE,1.25,microns,flux integrated from map or image,2010A&A...519A..67I
12,2.2 microns (COBE),3765.0,540.0,540.0,Jy,135999996821500.0,3765.0,540.0,540.0,,,5.12039988032948e+17,7.343999828361e+16,7.343999828361e+16,,,COBE,DIRBE,2.2,microns,flux integrated from map or image,2010A&A...519A..67I
13,3.5 microns (COBE),2190.0,300.0,300.0,Jy,85699999039488.0,2190.0,300.0,300.0,,,1.87682997896479e+17,2.57099997118464e+16,2.57099997118464e+16,,,COBE,DIRBE,3.5,microns,flux integrated from map or image,2010A&A...519A..67I
14,3.6 microns (IRAC),2150.0,40.0,40.0,Jy,84399999680512.0,2150.0,40.0,40.0,,,1.81459999313101e+17,3375999987220480.0,3375999987220480.0,,,Spitzer,IRAC,3.55,microns,flux in fixed aperture,2010ApJ...716..453L
15,3.6 microns (IRAC),2050.0,290.0,290.0,Jy,84399999680512.0,2050.0,290.0,290.0,,,1.7301999934505e+17,2.44759999073485e+16,2.44759999073485e+16,,,Spitzer,IRAC,3.55,microns,flux in fixed aperture,2009ApJ...703..517D
16,4.5 microns (IRAC),1410.0,200.0,200.0,Jy,66699999051776.0,1410.0,200.0,200.0,,,9.40469986630042e+16,1.33399998103552e+16,1.33399998103552e+16,,,Spitzer,IRAC,4.493,microns,flux in fixed aperture,2009ApJ...703..517D
17,4.5 microns (IRAC),1280.0,20.0,20.0,Jy,66699999051776.0,1280.0,20.0,20.0,,,8.53759987862733e+16,1333999981035520.0,1333999981035520.0,,,Spitzer,IRAC,4.493,microns,flux in fixed aperture,2010ApJ...716..453L
18,4.9 microns (COBE),1240.0,190.0,190.0,Jy,61199999827968.0,1240.0,190.0,190.0,,,7.58879997866803e+16,1.16279999673139e+16,1.16279999673139e+16,,,COBE,DIRBE,4.9,microns,flux integrated from map or image,2010A&A...519A..67I
19,5.8 microns (IRAC),1770.0,250.0,250.0,Jy,52300001312768.0,1770.0,250.0,250.0,,,9.25710023235994e+16,1.3075000328192e+16,1.3075000328192e+16,,,Spitzer,IRAC,5.731,microns,flux in fixed aperture,2009ApJ...703..517D
20,8.0 microns (IRAC),4810.0,750.0,750.0,Jy,38100000571392.0,4810.0,750.0,750.0,,,1.83261002748396e+17,2.8575000428544e+16,2.8575000428544e+16,,,Spitzer,IRAC,7.872,microns,flux in fixed aperture,2009ApJ...703..517D
21,8.0 microns (IRAC),6860.0,140.0,140.0,Jy,38100000571392.0,6860.0,140.0,140.0,,,2.61366003919749e+17,5334000079994880.0,5334000079994880.0,,,Spitzer,IRAC,7.872,microns,flux in fixed aperture,2010ApJ...716..453L
22,12 microns (COBE),3450.0,600.0,600.0,Jy,25000000094208.0,3450.0,600.0,600.0,,,8.62500003250176e+16,1.50000000565248e+16,1.50000000565248e+16,,,COBE,DIRBE,12.0,microns,flux integrated from map or image,2010A&A...519A..67I
23,12 microns (IRAS),2781.9,15.0,15.0,Jy,24979999600000.0,2781.9,417.285,417.285,,,6.949186088724e+16,1.0423779133086e+16,1.0423779133086e+16,,,IRAS,Survey array,12.0,microns,flux integrated from map or image,1988ApJS...68...91R
24,24 microns (MIPS),5960.0,600.0,600.0,Jy,12700000190464.0,5960.0,600.0,600.0,,,7.56920011351654e+16,7620000114278400.0,7620000114278400.0,,,Spitzer,MIPS,23.68,microns,flux in fixed aperture,2009ApJ...703..517D
25,24 microns (MIPS),8080.0,320.0,320.0,Jy,12700000190464.0,8080.0,320.0,320.0,,,1.02616001538949e+17,4064000060948480.0,4064000060948480.0,,,Spitzer,MIPS,23.68,microns,flux in fixed aperture,2010ApJ...716..453L
26,25 microns (COBE),7520.0,1100.0,1100.0,Jy,12000000212992.0,7520.0,1100.0,1100.0,,,9.02400016016998e+16,1.32000002342912e+16,1.32000002342912e+16,,,COBE,DIRBE,25.0,microns,flux integrated from map or image,2010A&A...519A..67I
27,25 microns (IRAS),7824.19,15.0,15.0,Jy,11989999900000.0,7824.19,1173.63,1173.63,,,9.3812037317581e+16,1.4071823582637e+16,1.4071823582637e+16,,,IRAS,Survey array,25.0,microns,flux integrated from map or image,1988ApJS...68...91R
28,60 microns (COBE),50500.0,7500.0,7500.0,Jy,4999999913984.0,50500.0,7500.0,7500.0,,,2.52499995656192e+17,3.749999935488e+16,3.749999935488e+16,,,COBE,DIRBE,60.0,microns,flux integrated from map or image,2010A&A...519A..67I
29,60 microns (IRAS),82917.0,15.0,15.0,Jy,4996999940000.0,82917.0,12437.5,12437.5,,,4.1433624402498e+17,6.215018675375e+16,6.215018675375e+16,,,IRAS,Survey array,60.0,microns,flux integrated from map or image,1988ApJS...68...91R
30,70 microns (MIPS),127000.0,6400.0,6400.0,Jy,4200000126976.0,127000.0,6400.0,6400.0,,,5.33400016125952e+17,2.68800008126464e+16,2.68800008126464e+16,,,Spitzer,MIPS,71.42,microns,flux in fixed aperture,2010ApJ...716..453L
31,70 microns (MIPS),111000.0,13000.0,13000.0,Jy,4200000126976.0,111000.0,13000.0,13000.0,,,4.66200014094336e+17,5.4600001650688e+16,5.4600001650688e+16,,,Spitzer,MIPS,71.42,microns,flux in fixed aperture,2009ApJ...703..517D
32,FIR (IRAS),5.02e-09,,,W/m^2,3632999960000.0,138177.815999756,,,,,5.02e+17,,,,,IRAS,?,82.5,microns,flux integrated from map or image,1988ApJS...68...91R
33,100 microns (COBE),200200.0,3000.0,3000.0,Jy,3000000053248.0,200200.0,3000.0,3000.0,,,6.0060001066025e+17,9000000159744000.0,9000000159744000.0,,,COBE,DIRBE,100.0,microns,flux integrated from map or image,2010A&A...519A..67I
34,100 microns (PACS),160000.0,20000.0,20000.0,Jy,3000000053248.0,160000.0,20000.0,20000.0,,,4.8000000851968e+17,6.000000106496e+16,6.000000106496e+16,,,Herschel,PACS,100.0,microns,total flux; beam filling or dilution corrected,2013AJ....146...62M
35,100 microns (IRAS),184686.69,15.0,15.0,Jy,2997999890000.0,184687.0,27703.0,27703.0,,,5.5369160568443e+17,8.305359095267e+16,8.305359095267e+16,,,IRAS,Survey array,100.0,microns,flux integrated from map or image,1988ApJS...68...91R
36,140 microns (COBE),251100.0,4500.0,4500.0,Jy,2139999961088.0,251100.0,4500.0,4500.0,,,5.37353990229197e+17,9629999824896000.0,9629999824896000.0,,,COBE,DIRBE,140.0,microns,flux integrated from map or image,2010A&A...519A..67I
37,160 microns (MIPS),260000.0,40000.0,40000.0,Jy,1920000065536.0,260000.0,40000.0,40000.0,,,4.9920001703936e+17,7.680000262144e+16,7.680000262144e+16,,,Spitzer,MIPS,155.9,microns,flux in fixed aperture,2009ApJ...703..517D
38,160 microns (MIPS),265000.0,32000.0,32000.0,Jy,1920000065536.0,265000.0,32000.0,32000.0,,,5.0880001736704e+17,6.1440002097152e+16,6.1440002097152e+16,,,Spitzer,MIPS,155.9,microns,flux in fixed aperture,2010ApJ...716..453L
39,160 microns (PACS),270000.0,40000.0,40000.0,Jy,1870000029696.0,270000.0,40000.0,40000.0,,,5.0490000801792e+17,7.480000118784e+16,7.480000118784e+16,,,Herschel,PACS,160.0,microns,total flux; beam filling or dilution corrected,2013AJ....146...62M
